Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jim Davis,,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2
John Henson,89.3,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA
Otto Moore,87.6,5,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Spencer Hawes,86.3,4.5,4.5,2.9,2.4,2.1,1.2,0.8,0.6
Kevin Kunnert,85.5,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2
Oliver Miller,85.5,5.3,3.8,3.4,3.1,1.8,1.6,0.9,0
Clemon Johnson,84.7,4.3,4,3.7,3.5,2.2,2,1.7,1.2
Ian Mahinmi,84.3,6.2,3.4,3.3,2.3,2.1,1.8,0.7,0.2
Joe Meriweather,84.3,4.8,3.8,3.8,2.6,2.6,2.3,2.2,0.8
Zaza Pachulia,84.2,4.8,3.9,3.9,3.1,2.9,2.7,1.1,0.3
Eddy Curry,83.9,4.7,4.3,3.5,3.3,3,1.8,1.7,0
