Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1967-68,26,STL,NBA,C,2,9,3.7,0.333,0,NA,NA,NA,0,NA,NA,NA,0,0,0,-0.081,NA,NA,NA,NA,NA
1968-69,27,ATL,NBA,C,8,52,7.4,0.351,0.533,NA,NA,NA,2.5,NA,NA,NA,-0.1,0.1,0,-0.029,NA,NA,NA,NA,NA
1969-70,28,ATL,NBA,C,9,117,8,0.427,0.459,NA,NA,NA,6.1,NA,NA,NA,-0.1,0.1,0.1,0.027,NA,NA,NA,NA,NA
1970-71,29,ATL,NBA,C,5,119,15.4,0.585,0.75,NA,NA,8.2,4.8,NA,NA,NA,0.4,0.1,0.4,0.174,NA,NA,NA,NA,NA
1973-74,32,DET,NBA,C,7,69,16.6,0.601,0.316,6.5,16.9,12.1,11,1.5,0.8,NA,0.1,0.1,0.2,0.168,NA,1.2,1.7,3,0.1
1974-75,33,DET,NBA,C,2,16,17.1,0.565,1.25,14.4,12.4,13.3,0,3,0,NA,0,0,0.1,0.164,NA,0.3,-1.4,-1.1,0
Career,NA,,NBA,,33,382,12.1,0.501,0.553,8,16,9.9,5.7,1.8,0.6,NA,0.4,0.4,0.7,0.094,NA,1.1,1.1,2.2,0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"STL,ATL",NBA,,24,297,10.7,0.479,0.571,NA,NA,8.2,4.8,NA,NA,NA,0.2,0.3,0.5,0.073,NA,NA,NA,NA,NA
2 seasons,NA,DET,NBA,,9,85,16.7,0.593,0.478,8,16,12.3,9,1.8,0.6,NA,0.2,0.1,0.3,0.168,NA,1.1,1.1,2.2,0.1
