Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Gilbert Arenas,,13.6,11.5,10.8,6.5,2.7,2.6,1.8,0.6,0.5,0.4,0.2,NA,NA,NA
Max Zaslofsky,77.9,10.2,9.6,9.4,8.4,3.7,2.7,1.7,1.7,0.6,0.3,NA,NA,NA,NA
David Thompson,76.8,12.7,12.4,10.7,9.5,6.4,5.4,3,2,1,NA,NA,NA,NA,NA
Larry Jones,75.8,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,NA,NA,NA,NA,NA,NA
Isaiah Thomas,74.0,12.5,9.7,7.7,6.1,5,4.3,0.2,-0.3,NA,NA,NA,NA,NA,NA
Steve Francis,72.9,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,NA,NA,NA,NA,NA
Anfernee Hardaway,72.4,14.4,10.7,8.1,7.8,7.1,5,2.9,2.3,2,1.1,0.4,0.2,0.2,-0.2
Brandon Roy,72.4,13.5,9.1,8,4.8,2.1,0,NA,NA,NA,NA,NA,NA,NA,NA
James Silas,68.7,13.1,9.8,7.9,7.4,7,5.7,5.5,2.4,0.7,0.6,NA,NA,NA,NA
Terrell Brandon,67.7,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.7,3.2,2.9,0.9,NA,NA,NA
Derrick Rose,66.9,13.1,6,6,4.9,3,3,1.2,0.4,-0.2,-0.2,NA,NA,NA,NA
