Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Larry Cannon,,7.2,0.1,0,-0.2
Earl Shannon,87.1,7,0.6,0,NA
Jeff McInnis,85.4,6.9,0.3,0.2,0.1
Anthony Parker,80.2,6.5,0.4,0.2,0
Brent Price,77.4,7.4,0.7,0.7,-0.6
Bobby Simmons,56.0,6.8,2,0.9,0.7
Ernie Calverley,55.6,5.5,0.7,-0.5,NA
Derek Smith,54.8,8,2.6,0.8,0
Jon McGlocklin,54.1,7.9,1.8,1.1,0.9
Charlie Ward,51.9,7.1,3.6,1,-0.2
Rickey Green,51.2,5.7,1.8,0.3,-0.1
