,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,MMF,ABA,,15,,2,,,,9,14,,,,,,,,,35
1970-71,23,DNR,ABA,,17,,2,,,,21,27,,,,,,,,,49
1971-72,24,TOT,ABA,,14,,1,,,,11,15,,,,,,,,,34
1971-72,24,MMP,ABA,,14,,1,,,,11,15,,,,,,,,,34
1971-72,24,INA,ABA,,8,,1,,,,5,8,,,,,,,,,18
1973-74,26,INA,ABA,,2,,0,,,,1,3,,,,,,,,,5
1973-74,26,PHI,NBA,,8,,,,,,4,5,,,5,8,,,,,17
Career,,,TOT,,17,,,,,,21,27,,,,,,,,,49
,,,NBA,,8,,,,,,4,5,,,5,8,,,,,17
,,,ABA,,17,,2,,,,21,27,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,
1 Season,,DNR,ABA,,17,,2,,,,21,27,,,,,,,,,49
1 Season,,MMF,ABA,,15,,2,,,,9,14,,,,,,,,,35
2 Seasons,,INA,ABA,,8,,1,,,,5,8,,,,,,,,,18
1 Season,,MMP,ABA,,14,,1,,,,11,15,,,,,,,,,34
1 Season,,PHI,NBA,,8,,,,,,4,5,,,5,8,,,,,17
