Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Larry Cannon,,7.2,0.1,0,-0.2,NA,NA,NA,NA,NA,NA
Earl Shannon,87.1,7,0.6,0,NA,NA,NA,NA,NA,NA,NA
Ernie Calverley,55.6,5.5,0.7,-0.5,NA,NA,NA,NA,NA,NA,NA
Arvesta Kelly,47.9,4.9,0.4,0.3,0,-0.1,NA,NA,NA,NA,NA
Malik Beasley,44.3,4.5,0.3,0.2,NA,NA,NA,NA,NA,NA,NA
Brent Price,42.4,7.4,2.2,1.6,0.7,0.7,0.1,0,0,-0.6,NA
Smush Parker,42.0,5.8,2.3,0.1,-0.1,-0.6,NA,NA,NA,NA,NA
D'Angelo Russell,41.9,5,1.3,0.4,0,NA,NA,NA,NA,NA,NA
Stephen Chubin,40.4,6.9,4,1.7,NA,NA,NA,NA,NA,NA,NA
Buddy Hield,37.4,5.9,2.8,1.3,NA,NA,NA,NA,NA,NA,NA
Tim Legler,35.9,6.8,3.4,1,0.8,0.3,0.1,0,0,-0.1,-0.3
