Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bobby Jones,,11,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6,4.8,3.2
LaMarcus Aldridge,94.6,11.1,10.9,10.1,9.5,8.8,8.6,7.5,7.2,7.2,7,6.2,3.4
Otis Thorpe,94.3,10.4,9.8,9,8.9,8.7,8.5,8.1,7.6,6,5.6,4,3.8
Alex English,93.4,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7.6,7,5.3,4,1.2
Rasheed Wallace,93.4,11,9.7,9.3,8.9,8.5,7.6,7.1,6.4,6.2,6.2,5,2.3
Horace Grant,92.9,14.1,10.3,10,9.5,9.1,8,8,7.7,7.1,6.4,4.2,4.1
Glen Rice,92.7,10.8,10.2,10,9.3,9,8.3,7.9,6.3,5.7,4.4,2.2,1.4
Chris Bosh,92.5,10.3,10.1,9.8,9.7,9.6,9.6,9,8,6.9,6.8,6.2,3.6
Carmelo Anthony,91.2,10.7,9.5,9.4,8.2,7.9,7.9,7.3,6.2,6.1,5,4.9,2.9
Buck Williams,91.2,11.4,9.2,8.9,8.7,8.5,7.9,7.7,7.6,7.3,6.8,6.1,5.2
Detlef Schrempf,89.9,12.9,10.4,9.8,9,8.4,8.2,8.1,8,4.4,4,3.6,0.8
