Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jim Petersen,,4.7,3.4,2.9,1,0.6,0.4,0.3,0.3,NA,NA
Jason Caffey,85.6,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,NA,NA
Linas Kleiza,83.1,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,NA,NA,NA
Cornell Warner,82.4,4.7,4.3,3.5,1.7,0.6,0.6,0.3,NA,NA,NA
Marv Roberts,80.9,4.3,3.4,2.4,1.2,0.4,-0.2,NA,NA,NA,NA
Jarron Collins,79.1,4.2,3.9,3.3,1.3,1.1,1,0.7,0.2,0.1,-0.1
Dave Budd,78.1,4.1,3.2,2.3,1.2,0.9,NA,NA,NA,NA,NA
Richaun Holmes,78.0,4.3,3.8,2.8,1.5,NA,NA,NA,NA,NA,NA
Fred Hetzel,77.7,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA,NA
Walter McCarty,77.6,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0,0,-0.2
Tom Abernethy,76.3,4.1,3.7,3.1,2,0.4,NA,NA,NA,NA,NA
