Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jim Petersen,,4.7,3.4,2.9,1,0.6,0.4,0.3,0.3
Jason Caffey,85.6,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3
Linas Kleiza,83.1,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,NA
Cornell Warner,82.4,4.7,4.3,3.5,1.7,0.6,0.6,0.3,NA
Andray Blatche,80.9,4.9,3.4,3,2.4,1.4,0.5,0.1,-0.1
Marv Roberts,80.9,4.3,3.4,2.4,1.2,0.4,-0.2,NA,NA
Tony Campbell,80.6,5.3,3.7,2.5,1.4,1.1,0.4,0.4,-0.3
Mike Sanders,80.3,3.9,3.1,2.7,1.2,1,0.8,0.8,0.6
Jarron Collins,79.6,4.2,3.9,3.3,1.3,1.1,1,0.7,0.2
Walter McCarty,79.6,4.1,2.9,2.9,1.8,0.7,0.5,0,-0.2
Travis Outlaw,78.8,5.3,3.2,2.3,1.4,0.9,0.9,0.8,0
