,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,20,UTA,NBA,C,9,31,,,,29%,71%,+11.6,+14.1,0,1,1,0,0,0,0,0,2
2010-11,21,DEN,NBA,C,1,2,,,,,100%,+33.3,+39.1,0,0,0,0,0,0,0,0,0
2011-12,22,DEN,NBA,C,3,26,,,,10%,90%,-43.1,-47.3,0,0,2,2,0,0,0,0,1
2012-13,23,DEN,NBA,C,6,100,,,,19%,81%,-21.4,-25.6,0,0,5,2,3,0,9,0,4
2013-14,24,MEM,NBA,C,7,45,,,,13%,87%,+2.3,+8.8,0,1,2,1,0,0,5,0,2
2014-15,25,MEM,NBA,C,11,127,,,,37%,63%,-9.7,-12.3,0,0,8,1,2,0,8,1,1
Career,,,NBA,,37,331,,,,25%,75%,-12.0,-13.4,0,2,18,6,5,0,22,1,10
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MEM,NBA,,18,172,,,,30%,70%,-6.6,-6.8,0,1,10,2,2,0,13,1,3
3 seasons,,DEN,NBA,,10,128,,,,17%,83%,-25.0,-29.0,0,0,7,4,3,0,9,0,5
1 season,,UTA,NBA,,9,31,,,,29%,71%,+11.6,+14.1,0,1,1,0,0,0,0,0,2
