Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Kosta Koufos,,6.5,3.9,3.5,3.5,3.3,2.7,2.6,1.3,0.7,0.2,0
Marvin Webster,85.1,8.7,4,3.9,3.2,2.8,2.7,2.5,1.3,0.2,0.2,NA
Kent Benson,82.2,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0
George Johnson,82.2,5,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2,1,0.3
Walter Dukes,82.1,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,NA,NA,NA
Matt Geiger,81.9,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,NA
Leroy Ellis,81.7,6.4,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6
Andrew Lang,81.6,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7,-0.1
Bismack Biyombo,81.1,5.9,4,3.2,2.9,2.9,2,1.4,0.6,NA,NA,NA
Nazr Mohammed,81.1,4.6,4.5,3.7,3.4,3.3,2.5,2.3,0.4,0,0,-0.1
Ian Mahinmi,80.8,6.2,3.4,3.3,2.3,2.2,2.1,1.8,1.4,1,0.7,0.2
