Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Pops Mensah-Bonsu,,0.3,0,0,0
Bob Bigelow,77.6,0.4,0,0,0
Scooter McCray,71.4,0.3,0.1,0,NA
Jordan Mickey,63.4,0.3,0.1,0.1,NA
Easy Parham,53.3,0.3,0.1,0,NA
Chris McCullough,52.2,0.3,0.2,0.1,NA
Jarnell Stokes,52.2,0.5,0.1,0.1,NA
Ken Durrett,48.9,0.5,0.1,0,0
Josh Huestis,45.4,0.5,0.2,0,NA
Joe Courtney,45.3,0.4,0.1,0,-0.1
Lazar Hayward,42.2,0.3,0.1,-0.1,NA
