Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Will Barton,,6.2,4.3,3.3,1.3,1.2,0.6,-0.5
Randy Wittman,91.4,5.9,4.2,3.5,1.6,1.2,0.7,0
Earl Boykins,89.5,6,4.1,3.5,1,0.8,0.3,-0.3
Ron Brewer,89.0,5.6,4.3,3.3,1.6,1.4,0.8,0.3
Craig Ehlo,86.6,6.5,4.6,3.1,1.2,0.5,0.2,0
Doug Christie,85.5,7,4.2,4,1.4,1.4,0.1,-0.3
Scott Burrell,85.4,5.6,3.7,3.2,1.4,1.1,0.8,0.5
Johnny Dawkins,85.4,6.4,4.3,3.6,2,1.7,1,0.6
Rafer Alston,84.9,5.9,5.5,3.4,1.2,0.7,0.3,-0.7
Luther Head,81.5,5.7,3.5,3.5,0.9,0.6,0.6,NA
Rudy Fernández,81.4,6.1,3.8,3,1.2,NA,NA,NA
