Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Will Barton,,6.2,4.3,3.3,1.3,1.2,0.6,-0.5,NA,NA,NA
Randy Wittman,91.1,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0,NA
Ron Brewer,88.6,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA,NA
Scott Burrell,84.9,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA,NA
Luther Head,81.5,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA,NA
Rudy Fernández,81.4,6.1,3.8,3,1.2,NA,NA,NA,NA,NA,NA
Paul Walther,78.6,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA
Mitchell Wiggins,78.5,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA,NA
Kenny Sailors,78.1,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA,NA
Bobby Simmons,78.1,6.8,5.3,3.4,2,0.9,0.7,0.7,0.3,0.1,0
Lewis Lloyd,77.9,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA
