Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bill Robinzine,,6.9,5.5,3.4,3,2.4,2.3,-0.2
Dick Schnittker,91.5,6.2,5.3,3.5,2.8,2.6,1.6,NA
Johnny Newman,85.6,6.7,4.5,4.1,3.7,3.1,2.3,0.3
Ray Scott,85.2,5.5,5.3,3.5,3.4,2.5,2.4,1.3
Joe Caldwell,85.1,7.9,6.7,3.7,3.3,2.3,2,0.3
Zach Randolph,84.8,7.1,5.7,4.8,3.1,3,1.3,0.5
Paul Silas,84.0,6.9,6.7,3.3,3.3,1.8,1.2,0.5
Greg Smith,83.8,6.8,5.5,4.5,2.7,1.9,0.6,0.4
Mel Hutchins,83.5,6.9,5.8,4.4,3.9,3.8,2.8,0.3
Les Hunter,83.3,8.4,5.6,4.9,2.7,2.2,2.1,-0.5
Don Nelson,83.3,7.5,6.1,5.4,3.3,2.3,2.1,0.4
