Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bill Robinzine,,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA
Dick Schnittker,91.5,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA
Bison Dele,87.1,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2
Greg Smith,83.7,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
Mel Hutchins,83.5,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA
Les Hunter,83.3,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,NA
Michael Kidd-Gilchrist,82.2,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA
George Carter,82.1,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0
Andrés Nocioni,82.0,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2
Jae Crowder,80.7,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA
Buck Johnson,80.6,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA
