,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,26,SAS,NBA,SG,82,2859,,76%,24%,,,+11.7,+10.3,86,41,74,20,133,0,674,19,53
2001-02,27,POR,NBA,SG,70,1860,17%,78%,5%,,,+5.5,+3.6,41,21,32,17,70,0,481,13,32
2002-03,28,POR,NBA,PG,76,2556,53%,47%,,,,+4.3,+3.9,66,33,57,10,78,0,708,17,19
2003-04,29,POR,NBA,SG,51,1810,1%,98%,1%,,,+2.2,+7.1,53,25,34,5,64,0,506,11,14
2004-05,30,POR,NBA,SG,47,1239,,91%,9%,,,-5.7,-1.5,41,16,35,6,31,0,318,7,10
2005-06,31,TOT,NBA,SG,43,1047,14%,53%,31%,2%,,-2.1,-4.1,26,14,36,8,29,15,224,4,10
2005-06,31,HOU,NBA,SG,20,582,,45%,51%,3%,,-1.3,+0.2,18,8,16,6,19,5,123,4,4
2005-06,31,MIA,NBA,SG,23,465,32%,62%,7%,,,-3.0,-8.2,8,6,20,2,10,10,101,0,6
2006-07,32,CHA,NBA,SF,50,1190,3%,40%,55%,2%,,+1.3,+7.3,30,13,37,7,34,13,299,12,7
2007-08,33,CHA,NBA,SG,28,396,15%,75%,10%,,,-13.8,-9.8,15,6,30,2,14,3,94,2,3
Career,,,NBA,,447,12957,15%,70%,15%,,,+3.5,+4.5,358,169,335,75,453,31,3304,85,148
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,POR,NBA,,244,7465,23%,74%,3%,,,+2.5,+3.7,201,95,158,38,243,0,2013,48,75
1 season,,SAS,NBA,,82,2859,,76%,24%,,,+11.7,+10.3,86,41,74,20,133,0,674,19,53
2 seasons,,CHA,NBA,,78,1586,6%,49%,44%,2%,,-2.5,+3.0,45,19,67,9,48,16,393,14,10
1 season,,MIA,NBA,,23,465,32%,62%,7%,,,-3.0,-8.2,8,6,20,2,10,10,101,0,6
1 season,,HOU,NBA,,20,582,,45%,51%,3%,,-1.3,+0.2,18,8,16,6,19,5,123,4,4
