Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Irv Rothenberg,,2.3,1.6,-0.2,NA,NA,NA
Pete Cross,85.5,2.6,1.8,-0.2,NA,NA,NA
Justin Hamilton,82.1,2.1,1.5,0.1,NA,NA,NA
Audie Norris,71.4,1.9,1.1,-0.1,NA,NA,NA
Henry Sims,67.4,2.1,2.1,0.4,0,NA,NA
Hasheem Thabeet,66.8,2.2,2,0.3,0.3,0,NA
Joffrey Lauvergne,64.1,2.3,1.5,1.3,0.1,NA,NA
Gene Conley,63.8,2.8,2.1,0.4,0,0,-0.1
Ed Kalafat,63.8,2.6,2.1,0.7,NA,NA,NA
Predrag Drobnjak,61.4,2.4,1.6,1,0.7,NA,NA
Charlie Tyra,60.7,2.3,1.5,1.1,0.2,-0.2,NA
