Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,25,CLR,BAA,NA,29,NA,NA,0.267,0.323,NA,NA,NA,NA,NA,-0.5,0.3,-0.2,NA
1947-48,26,TOT,BAA,NA,49,NA,NA,0.341,0.412,NA,NA,NA,NA,NA,1.1,1.2,2.3,NA
1947-48,26,WSC,BAA,NA,11,NA,NA,0.332,0.35,NA,NA,NA,NA,NA,0.1,0.3,0.4,NA
1947-48,26,BLB,BAA,NA,14,NA,NA,0.317,0.267,NA,NA,NA,NA,NA,0,0.1,0.2,NA
1947-48,26,STB,BAA,NA,24,NA,NA,0.351,0.486,NA,NA,NA,NA,NA,0.9,0.8,1.7,NA
1948-49,27,NYK,BAA,NA,53,NA,NA,0.354,0.474,NA,NA,NA,NA,NA,-0.1,1.7,1.6,NA
Career,NA,,BAA,NA,131,NA,NA,0.333,0.421,NA,NA,NA,NA,NA,0.4,3.2,3.6,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,BAA,NA,53,NA,NA,0.354,0.474,NA,NA,NA,NA,NA,-0.1,1.7,1.6,NA
1 season,NA,CLR,BAA,NA,29,NA,NA,0.267,0.323,NA,NA,NA,NA,NA,-0.5,0.3,-0.2,NA
1 season,NA,STB,BAA,NA,24,NA,NA,0.351,0.486,NA,NA,NA,NA,NA,0.9,0.8,1.7,NA
1 season,NA,BLB,BAA,NA,14,NA,NA,0.317,0.267,NA,NA,NA,NA,NA,0,0.1,0.2,NA
1 season,NA,WSC,BAA,NA,11,NA,NA,0.332,0.35,NA,NA,NA,NA,NA,0.1,0.3,0.4,NA
