Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Charlie Hardnett,,2.3,1,-0.3,NA,NA
Chris Copeland,80.5,2.1,1,-0.1,-0.1,NA
Jim Bradley,77.8,2.3,1.3,0.1,NA,NA
Ryan Kelly,74.5,2.2,0.7,0.1,0.1,NA
Derrick Alston,71.9,1.7,1,-0.1,NA,NA
Bernard Thompson,71.9,2.1,0.9,0.2,0.1,0
Walter Herrmann,70.5,2.4,1,0.7,NA,NA
Marquese Chriss,69.2,1.8,0.7,-0.2,NA,NA
Gerard King,68.0,2.3,0.5,0.2,NA,NA
Bill Bunting,67.1,2,0.7,0,NA,NA
Marty Byrnes,66.8,2.3,1,0.9,0,NA
