Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Charlie Hardnett,,2.3,1,-0.3
Chris Copeland,86.6,2.1,1,-0.1
Lamond Murray,86.3,2.1,1.2,-0.3
Marty Byrnes,86.1,2.3,0.9,0
Mario Hezonja,82.1,2.3,0.9,-0.7
Jim Loscutoff,81.2,2.1,0.9,0
Tariq Abdul-Wahad,80.1,2.2,1.4,-0.2
Jim Bradley,77.8,2.3,1.3,0.1
Steve Novak,76.8,2.2,1.1,0.4
Kevin Gamble,76.5,1.9,1,-0.1
Ryan Kelly,76.2,2.2,0.7,0.1
