,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2015-16,24,WAS,NBA,SF,26,147,.308,22.1,.277,.046,.077,.031,.123,.723,.278,.000,.200,.000,.500,.319,.800,.000,0,.933,.213,.300,1,0
2016-17,25,PHO,NBA,SF,5,62,.316,21.9,.158,.105,.000,.053,.000,.842,.667,1.000,,.000,,.250,.500,.000,0,1.000,.250,.250,0,0
2017-18,26,TOT,NBA,SF,3,9,.000,25.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
2017-18,26,BOS,NBA,SF,2,6,.000,25.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
2017-18,26,CHI,NBA,SF,1,3,.000,25.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
Career,,,NBA,,34,218,.302,22.1,.244,.058,.058,.035,.093,.756,.333,.400,.200,.000,.500,.292,.714,.000,0,.947,.215,.286,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,WAS,NBA,,26,147,.308,22.1,.277,.046,.077,.031,.123,.723,.278,.000,.200,.000,.500,.319,.800,.000,0,.933,.213,.300,1,0
1 season,,PHO,NBA,,5,62,.316,21.9,.158,.105,.000,.053,.000,.842,.667,1.000,,.000,,.250,.500,.000,0,1.000,.250,.250,0,0
1 season,,BOS,NBA,,2,6,.000,25.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
1 season,,CHI,NBA,,1,3,.000,25.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
