Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jawann Oldham,,1.3,1.2,1,0.5,0.3,0,0,0,0,0
Dick Cunningham,75.8,1.2,1,1,1,0,0,0,NA,NA,NA
Jelani McCoy,74.5,1.5,1.4,1.1,1,0.1,0,0,0,NA,NA
Eric Fernsten,73.0,1.2,1,0.5,0.5,0.2,0,NA,NA,NA,NA
Rickey Brown,70.5,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA,NA
Walt Davis,70.0,1.6,0.9,0.9,0.8,0.6,NA,NA,NA,NA,NA
Clifford Rozier,69.3,1.6,1.3,1.1,-0.1,NA,NA,NA,NA,NA,NA
Aaron Gray,68.1,1.4,1.3,1.1,0.9,0.8,0.5,0.1,NA,NA,NA
Jahlil Okafor,66.7,2.2,1.2,1.2,0.6,NA,NA,NA,NA,NA,NA
Stuart Gray,64.0,1.1,0.9,0.7,0.6,0.4,0,-0.4,NA,NA,NA
Johan Petro,61.2,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2,NA,NA
