Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1982-83,23,PHO,NBA,SF,65,0,626,9.6,17.7,0.543,0,0.1,0,9.6,17.6,0.545,5.3,8.2,0.642,3.5,4.4,7.9,2.3,1.2,0.2,3.8,4.1,24.5,NA,106,104
1983-84,24,TOT,NBA,SF,36,2,372,10.2,21.7,0.471,0,0,NA,10.2,21.7,0.471,3.3,6,0.553,4.7,4.7,9.5,1.9,1.9,0.4,3.1,4,23.8,NA,100,108
1983-84,24,PHO,NBA,SF,22,2,308,10.6,22.1,0.479,0,0,NA,10.6,22.1,0.479,3.7,6.5,0.571,4.6,4.9,9.5,2.2,2,0.3,2.8,3.8,24.9,NA,103,108
1983-84,24,MIL,NBA,SF,8,0,45,7.7,18.7,0.412,0,0,NA,7.7,18.7,0.412,2.2,5.5,0.4,5.5,3.3,8.8,1.1,2.2,1.1,5.5,3.3,17.6,NA,79,105
1983-84,24,SDC,NBA,SF,6,0,19,10,22.5,0.444,0,0,NA,10,22.5,0.444,0,0,NA,5,5,10,0,0,0,2.5,7.5,20,NA,96,116
1984-85,25,LAC,NBA,PF,80,14,1106,6.2,12,0.516,0,0,NA,6.2,12,0.516,3.9,5.6,0.692,4,4.3,8.4,1.5,1.5,0.9,3.7,4.9,16.3,NA,102,111
1985-86,26,LAC,NBA,SF,75,30,1761,9.4,18.2,0.519,0,0.2,0.111,9.4,17.9,0.524,4.4,5.9,0.739,2.2,2.6,4.8,2,2,0.2,2.5,4.3,23.2,NA,110,114
1986-87,27,LAC,NBA,SF,68,35,1545,8,16.7,0.48,0,0.1,0,8,16.6,0.483,2.8,4.4,0.653,2.7,3.1,5.9,2.4,1.4,0.6,2.2,4.8,18.9,NA,103,115
Career,NA,,NBA,,324,81,5410,8.4,16.7,0.506,0,0.1,0.077,8.4,16.6,0.509,3.9,5.7,0.681,3,3.5,6.5,2,1.6,0.5,2.9,4.5,20.7,NA,105,112
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"SDC,LAC",NBA,,229,79,4431,8.1,16.1,0.504,0,0.1,0.083,8.1,16,0.507,3.7,5.3,0.702,2.8,3.2,6.1,2,1.7,0.5,2.7,4.6,20,NA,106,114
2 seasons,NA,PHO,NBA,,87,2,934,9.9,19.1,0.519,0,0.1,0,9.9,19.1,0.52,4.8,7.6,0.623,3.9,4.6,8.5,2.2,1.5,0.2,3.5,4,24.6,NA,105,105
1 season,NA,MIL,NBA,,8,0,45,7.7,18.7,0.412,0,0,NA,7.7,18.7,0.412,2.2,5.5,0.4,5.5,3.3,8.8,1.1,2.2,1.1,5.5,3.3,17.6,NA,79,105
