Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Rory White,,2.6,1.5,1,1,0.4,NA,NA
Ike Diogu,90.4,2.6,1.5,1,0.7,0.7,0,NA
Jeff Ayres,87.1,2.4,1.3,1.2,1,0.3,0.2,NA
George Lee,86.0,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Kevin Séraphin,83.2,2.3,1.7,1,0.8,0.2,0.1,-0.2
Sam Mack,83.0,2.8,1.9,1.3,1.1,0.3,0,-0.1
Simmie Hill,82.9,3.1,1.6,1.2,1,NA,NA,NA
Brady Walker,82.7,2.8,1.9,1.2,1,NA,NA,NA
Al Thornton,81.8,2.2,1.6,1.3,1.1,NA,NA,NA
James Hardy,81.3,2.5,1.8,1.3,0.7,NA,NA,NA
Chris Crawford,81.1,2.7,1.3,0.9,0.6,0.6,0.2,0.1
