Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rory White,,2.6,1.5,1,1,0.4
Ike Diogu,90.8,2.6,1.5,1,0.7,0.7
Jeff Ayres,89.1,2.4,1.3,1.2,1,0.3
George Lee,89.0,2.6,1.7,1.2,0.6,0.4
Damien Wilkins,87.9,2.8,1.7,1,1,0
Charles Shackleford,87.7,2.7,1.5,0.9,0.8,0.8
Charles Davis,86.7,2.1,1.5,1,0.9,0.3
Jeremy Evans,84.6,2.8,1.6,1.3,0.9,0.9
Sam Mack,84.5,2.8,1.9,1.3,1.1,0.3
Mark Madsen,84.5,2.7,1.9,1.1,1.1,0.8
Simmie Hill,82.9,3.1,1.6,1.2,1,NA
