Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Lorenzo Romar,,2.7,2.6,2.4,0.5,-0.1,NA,NA,NA
Eldridge Recasner,90.6,2.9,2.6,2.5,0.8,0.1,0,0,0
Dick Farley,87.1,3,2.8,2.5,NA,NA,NA,NA,NA
Zach LaVine,83.1,3,2.8,2.6,0.3,-0.7,NA,NA,NA
Norman Powell,82.8,2.8,2.4,1.6,0.6,NA,NA,NA,NA
Ken Charles,78.8,3.3,3,2.3,0.6,0.6,NA,NA,NA
Jerian Grant,77.7,3.3,2.5,1.7,0.8,NA,NA,NA,NA
Mike Butler,75.1,3.1,2.3,1.6,0.1,NA,NA,NA,NA
Dennis Hopson,75.0,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA
Butch van Breda Kolff,74.3,4.4,2.5,2.3,0.2,NA,NA,NA,NA
Casey Jacobsen,74.0,2.7,2.6,1.2,-0.3,NA,NA,NA,NA
