Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Lorenzo Romar,,2.7,2.6,2.4,0.5,-0.1
Eldridge Recasner,92.0,2.9,2.6,2.5,0.8,0
Dick Farley,87.1,3,2.8,2.5,NA,NA
J.J. Barea,83.8,3.2,2.2,2.2,0.5,0.1
Sam Vincent,83.6,3.3,2.4,2.3,0.5,0.3
Sedale Threatt,83.4,2.7,2.5,2.1,1.3,0.1
Zach LaVine,83.1,3,2.8,2.6,0.3,-0.7
Norman Powell,82.8,2.8,2.4,1.6,0.6,NA
Brandon Rush,82.7,3.5,2.6,2.5,0.9,0
Kevin Edwards,82.6,2.5,2.4,1.6,0.3,-0.2
Mike McGee,81.9,3,2.8,1.9,0.2,0.2
