Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Josh Harrellson,,1.4,0.7,0,NA,NA,NA
Gene Tormohlen,90.1,1.4,0.8,0.1,0,0,0
Daniel Santiago,84.7,1.2,0.6,0,0,NA,NA
Robert Sacre,78.1,1.4,0.8,0.3,-0.1,NA,NA
Hank Beenders,74.5,1.1,0.9,-0.1,NA,NA,NA
Bernard James,74.5,1.2,0.5,0.1,NA,NA,NA
Rich Johnson,74.4,1.2,0.9,0.1,NA,NA,NA
John Shasky,73.8,1.9,0.7,-0.1,NA,NA,NA
Robert Swift,72.5,1.1,0.7,0,-0.2,NA,NA
Pétur Guðmundsson,70.0,1.4,0.6,0.3,-0.1,NA,NA
Granville Waiters,69.8,1.3,0.5,0.2,0,-0.2,NA
