Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Scott Lloyd,,1.3,1,0.6,0.3,-0.1,-0.6,NA,NA,NA,NA
Eric Fernsten,62.6,1.2,1,0.5,0.5,0.2,0,NA,NA,NA,NA
Steve Hayes,59.1,1.2,0.9,0.3,0.3,0.2,NA,NA,NA,NA,NA
Earl Williams,58.9,1.3,1,0.4,0,NA,NA,NA,NA,NA,NA
Mark McNamara,55.5,1.2,0.7,0.6,0.4,0.1,0,0,-0.2,NA,NA
Bob Elliott,51.0,1.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA
Dick Cunningham,50.2,1.2,1,1,1,0,0,0,NA,NA,NA
Jawann Oldham,50.2,1.3,1.2,1,0.5,0.3,0,0,0,0,0
Robert Sacre,45.3,1.4,0.8,0.3,-0.1,NA,NA,NA,NA,NA,NA
David Harrison,42.5,1.5,1.4,0.4,-0.2,NA,NA,NA,NA,NA,NA
Rickey Brown,42.1,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA,NA
