Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Scott Lloyd,,1.3,1,0.6,0.3,-0.1,-0.6
Jawann Oldham,74.4,1.3,1,0.5,0.3,0,0
Mark McNamara,68.5,1.2,0.7,0.6,0.4,0,-0.2
Jerome James,68.2,1.2,0.9,0.8,0.7,-0.1,-0.5
Eric Fernsten,62.6,1.2,1,0.5,0.5,0.2,0
Steve Hayes,59.1,1.2,0.9,0.3,0.3,0.2,NA
Earl Williams,58.9,1.3,1,0.4,0,NA,NA
Stuart Gray,58.6,1.1,0.9,0.7,0.6,0.4,-0.4
Connie Dierking,56.4,1.4,1,0.7,0.5,0.5,0.1
Bob Elliott,51.0,1.6,0.8,0.7,NA,NA,NA
Dick Cunningham,50.8,1.2,1,1,1,0,0
