,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1967-68,23,KEN,ABA,,23,,4,,,,9,10,,,,,,,,,54,
1968-69,24,KEN,ABA,,18,,9,,,,11,12,,,,,,,,,46,
1969-70,25,KEN,ABA,,21,,9,,,,12,15,,,,,,,,,55,
1970-71,26,KEN,ABA,,13,,4,,,,12,12,,,,,,,,,34,
1971-72,27,KEN,ABA,,16,,4,,,,9,14,,,,,,,,,39,
1972-73,28,KEN,ABA,,11,,4,,,,11,11,,,,,,,,,30,
1973-74,29,KEN,ABA,,14,,3,,,,11,12,,,,,,,,,31,
1974-75,30,KEN,ABA,,12,,3,,,,8,11,,,,,,,,,32,
1975-76,31,KEN,ABA,,11,,3,,,,9,9,,,,,,,,,25,
1976-77,32,SAS,NBA,,10,,,,,,5,7,,,,,,,,,21,
1977-78,33,SAS,NBA,,10,,,,,,5,5,,,,,,,,,21,
1978-79,34,SAS,NBA,,8,,,,,,4,4,,,,,,,,,18,
Career,,,TOT,,23,,,,,,12,15,,,,,,,,,55,
,,,NBA,,10,,,,,,5,7,,,,,,,,,21,
,,,ABA,,23,,9,,,,12,15,,,,,,,,,55,
,,,,,,,,,,,,,,,,,,,,,,
9 Seasons,,KEN,ABA,,23,,9,,,,12,15,,,,,,,,,55,
3 Seasons,,SAS,NBA,,10,,,,,,5,7,,,,,,,,,21,
