Season,Team,Lg,Salary
2010-11,Detroit Pistons,NBA,"$2,798,040"
2011-12,Detroit Pistons,NBA,"$3,007,920"
2012-13,Detroit Pistons,NBA,"$3,217,680"
2013-14,Detroit Pistons,NBA,"$4,086,454"
2014-15,Detroit Pistons,NBA,"$5,479,934"
2015-16,Milwaukee Bucks,NBA,"$16,400,000"
2016-17,Milwaukee Bucks,NBA,"$17,100,000"
2017-18,Phoenix Suns,NBA,"$16,384,175"
2017-18,Boston Celtics,NBA,"$5,000,000"
2018-19,Brooklyn Nets,NBA,"$2,165,481"
2018-19,Boston Celtics,NBA,"$122,344"
2018-19,Philadelphia 76ers,NBA,"$59,820"
Career,(may be incomplete),,"$75,821,848"
