Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Greg Monroe,,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1
Red Rocha,92.3,7.8,7.2,7,6.5,5.1,5,4.6,3.6,1
Brook Lopez,89.0,9,7.9,7,6.3,6.2,5.8,4.9,2.3,0.3
Nate Thurmond,87.5,9,7.2,7.2,6.5,6.1,5.2,4.3,3.7,3.5
Alvan Adams,86.8,7.7,7.6,7.2,7.2,7,6.5,6.3,4.9,3.3
Al Jefferson,86.7,7.8,7.7,7.7,7.5,6.6,4.9,4.6,2.7,2.3
Mehmet Okur,86.5,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2
Vlade Divac,86.3,9.5,8.3,7.4,7.3,6.1,5.9,5.6,5,1.8
Clifford Ray,86.3,8.7,8.2,8.1,7,6.9,6.7,5.7,3.8,1.9
Tree Rollins,86.3,9.2,7.3,6.4,6.4,5.5,5,3.8,3.4,2.6
Emeka Okafor,86.2,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1
