Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jack Garfinkel,,1.1,0.3,-0.5,NA
Kyle Weaver,57.6,1.2,0.3,0,NA
Willie Smith,52.4,1,0.3,0,0
Ray Corley,48.1,1.2,0,-0.4,NA
Tate George,46.2,1.1,0.4,0,-0.1
Eddie Hughes,44.7,1,0.4,0,NA
Buddy O'Grady,44.4,1.4,0.7,-0.5,NA
Lowes Moore,43.6,1.1,0.2,0.2,NA
Nate Hawthorne,43.1,1.1,0.5,0.1,NA
Charles Smith,42.2,1.1,0,-0.2,NA
Walter Bond,38.5,1,0.4,-0.8,NA
