Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Hasheem Thabeet,,2.2,2,0.3,0.3,0,NA
Henry Sims,88.8,2.1,2.1,0.4,0,NA,NA
Gene Conley,78.4,2.8,2.1,0.4,0,0,-0.1
Ed Kalafat,77.9,2.6,2.1,0.7,NA,NA,NA
George Nostrand,77.5,2,2,1.3,0.4,NA,NA
Bob Christian,77.4,2.4,1.9,0.9,0.5,0,NA
Justin Hamilton,75.0,2.1,1.5,0.1,NA,NA,NA
Howie Schultz,72.8,3,2,0.6,NA,NA,NA
Predrag Drobnjak,69.4,2.4,1.6,1,0.7,NA,NA
Charlie Tyra,68.3,2.3,1.5,1.1,0.2,-0.2,NA
Irv Rothenberg,66.8,2.3,1.6,-0.2,NA,NA,NA
