Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1970-71,22,POR,NBA,SG,1,0,5:00,0,3,0,0,0,NA,NA,0,1,NA,NA,0,0
1973-74,25,POR,NBA,PG,1,1,26:00,3,11,0.273,2,2,1,1,2,4,1,0,1,8
Career,NA,,NBA,,2,1,31,3,14,0.214,2,2,1,1,2,5,1,0,1,8
