Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Geoff Petrie,,6.2,5.4,5.3,4.6,4.5,0.1
Michael Cooper,93.5,6.5,5.2,5,5,4,0
Brian Winters,91.3,6.2,6,5.1,5,4.2,1.1
Jimmy Walker,91.1,6.2,6.1,5.5,5.1,3.6,0.4
Willie Anderson,91.0,6.5,5.6,4.9,4.8,3.3,-0.1
Jeff Malone,89.0,6.1,5.7,5.6,5.6,4.1,1.3
Belus Smawley,87.6,5.6,5.3,5,4.5,3,-0.6
Larry Brown,87.4,6.6,5.8,5.1,5,2.4,NA
Jameer Nelson,87.4,6,5.6,5,4.9,4,2.5
Johnny Davis,86.9,5.7,5.2,5.1,4.4,4.3,2.5
David Wesley,86.9,6.3,6.1,5.8,4.8,2.6,0.6
