Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Robin Lopez,,9.5,5.8,5.6,5.1,4.3,3.2,2.7,2.1,1.9,1.5,1.1
Danny Schayes,90.3,8.8,6.8,5.6,4.6,4.5,3.9,2.8,2,1.7,1.2,0.9
Rich Kelley,86.9,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4,2.4,1.7,0.7
Olden Polynice,86.1,6.7,5.3,5.2,5.1,4.5,3.3,2.6,2.5,1.6,1.5,1.5
Nikola Vučević,84.2,10.1,7,5.7,5.2,4.4,4,3.6,1.8,NA,NA,NA
Ervin Johnson,83.5,6.4,5.2,5.1,4.9,3.9,3,2.3,2.3,1.9,1.3,0.7
Wayne Embry,83.2,6.7,6.3,5.6,4.5,3.4,3.4,2,1.9,1.5,1.2,1.1
Mark West,83.1,8.2,6.5,5.5,3.9,3.4,3.1,2.4,1.9,1.1,0.9,-0.1
Steve Hawes,82.7,6.1,6,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1,NA
Darryl Dawkins,82.0,7.9,6.4,6.3,5.7,4.6,4.4,4,2.9,2.1,2.1,0.1
Joe Barry Carroll,81.4,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0,NA
