Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Frank Ramsey,,10,7.3,6.5,5.9,5.3,4,3.6,3.3,3.2
Josh Smith,92.4,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4
Charles Oakley,89.7,10.5,7.3,6.7,6.2,6,5.7,5.7,3.5,3.3
Hedo Türkoğlu,89.6,9,7.6,7.3,6.7,5.2,4.9,3.4,2.8,2.6
Luis Scola,89.2,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5
Corey Maggette,89.0,8.6,8.1,7,6.9,5,3.9,3.3,3,2.6
Udonis Haslem,88.9,9.2,7,6,5.7,5.1,4.8,3.5,2.5,0.9
Grant Long,88.6,8.4,7.7,6.6,6.5,5.1,5,4.6,2.7,2.6
James Posey,88.5,10,6.2,5.4,5.2,4.3,4.2,3.8,2.7,2.3
Brian Grant,88.4,8.7,7.7,6.3,5.9,5.3,4.8,4.7,3.5,1
Maurice Lucas,88.3,8.7,7.4,7.1,6.2,5.8,5.5,4.7,3.5,2.4
