Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,23,BOS,NBA,SF,7,NA,154,6.5,12.6,0.519,4.4,6.1,0.731,8.2,3.7,6.3,17.5
1956-57,25,BOS,NBA,SG,10,NA,229,6,12.9,0.463,7.2,9.3,0.78,6.8,2.7,5.7,19.2
1957-58,26,BOS,NBA,SG,11,NA,352,7.6,17.8,0.425,5.5,6,0.915,9.2,1.6,5.1,20.7
1958-59,27,BOS,NBA,SG,11,NA,303,11.3,22.8,0.495,7.7,9.6,0.802,8.1,2.4,6.2,30.3
1959-60,28,BOS,NBA,SG,13,NA,459,6.4,15.4,0.413,4.3,4.9,0.873,7.8,2.1,4,17
1960-61,29,BOS,NBA,SG,10,NA,300,6.6,16.3,0.404,7.3,9,0.813,7.7,2.8,4.8,20.5
1961-62,30,BOS,NBA,SG,13,NA,210,6.7,17.8,0.375,7,7.7,0.911,6.5,1.7,6.5,20.4
1962-63,31,BOS,NBA,SG,13,NA,251,5.3,14.9,0.356,4.9,6.7,0.723,5,1.7,6.2,15.5
1963-64,32,BOS,NBA,SG,10,NA,138,5.7,16.4,0.349,4.7,5.5,0.857,5.5,2.6,6.5,16.2
Career,NA,,NBA,,98,NA,2396,7,16.6,0.424,5.9,7.2,0.826,7.4,2.3,5.4,20
