Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Nikola Jokić,,11.8,10.7,9.7,6.7
Dave Cowens,97.1,12,10.4,9.3,6.4
Wes Unseld,93.3,11.1,10.8,10,8.3
Ed Sadowski,93.2,11.8,10.7,9.3,4.3
Yao Ming,91.9,11.4,10.7,8.7,8.6
Dwight Howard,90.3,12.9,9.7,8.6,7.3
Hakeem Olajuwon,89.7,10.9,10.7,10.2,9.5
Bill Cartwright,88.9,10.1,10,9.7,5
Mel Daniels,87.5,11.4,9.2,8.6,8.6
Alonzo Mourning,85.8,9.9,9.4,8.2,6.3
Bob Lanier,85.7,14.4,10.6,8.4,5.2
