Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Nikola Jokić,,11.8,10.7,9.7,6.7,NA,NA,NA,NA
Ed Sadowski,93.2,11.8,10.7,9.3,4.3,NA,NA,NA,NA
Karl-Anthony Towns,84.6,14,12.7,10.4,8.3,NA,NA,NA,NA
Clint Capela,79.5,10.8,10.2,5.9,4.4,0,NA,NA,NA
Rudy Gobert,69.5,14.4,14.3,9.3,8.1,6.4,0.4,NA,NA
Jeff Ruland,69.4,10.1,9.3,7.8,3.5,3.3,0.3,0,0
Hassan Whiteside,67.9,10.3,9.5,6.3,5.3,5.3,0.2,0,NA
Steven Adams,66.0,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA
Andre Drummond,59.6,10.3,10,9.9,7.7,7.4,6.7,4.5,NA
Brad Daugherty,56.4,12.7,11.7,9.6,9,6.6,6.4,6,3.1
Steve Stipanovich,55.8,9,6.9,5.9,5,3.6,NA,NA,NA
