,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22,ATL,NBA,,4,,,,,,3,4,,,,,,,,,10
1974-75,23,SSL,ABA,,12,,1,,,,3,5,,,,,,,,,27
1975-76,24,SDS,ABA,,1,,0,,,,2,2,,,,,,,,,4
Career,,,TOT,,12,,,,,,3,5,,,,,,,,,27
,,,NBA,,4,,,,,,3,4,,,,,,,,,10
,,,ABA,,12,,1,,,,3,5,,,,,,,,,27
,,,,,,,,,,,,,,,,,,,,,
1 Season,,ATL,NBA,,4,,,,,,3,4,,,,,,,,,10
1 Season,,SSL,ABA,,12,,1,,,,3,5,,,,,,,,,27
1 Season,,SDS,ABA,,1,,0,,,,2,2,,,,,,,,,4
