Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tom Ingelsby,,0.7,0.1,0,NA,NA
Othyus Jeffers,91.1,0.7,0.1,0.1,NA,NA
Clay Johnson,76.5,0.6,0.1,0,NA,NA
Carl Thomas,76.5,0.7,0,0,NA,NA
Phil Pressey,73.5,0.8,0.1,-0.1,NA,NA
Archie Goodwin,73.1,0.7,0.2,0.2,0.1,NA
Sam Jacobson,70.9,0.9,0.2,0,NA,NA
Connie Norman,67.2,0.8,0.2,0.2,NA,NA
Sergey Karasev,61.5,0.7,0.3,-0.1,NA,NA
Gus Bailey,60.5,0.5,0.2,0.2,0,0
Paul McCracken,59.7,0.5,0,0,NA,NA
