Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Alan Anderson,,2.7,1.7,1.6,0.4,0.3,0.3,0.1,0.1
Mike Barr,86.2,2.7,1.7,1.4,0.7,0.4,NA,NA,NA
Anthony Goldwire,82.1,3,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Tom Garrick,80.0,2.5,1.8,1.4,0.2,NA,NA,NA,NA
Quinton Ross,78.8,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA
Norman Powell,78.5,2.8,2.4,1.6,0.6,NA,NA,NA,NA
Greg Minor,77.2,3,2.1,1.7,0.8,0.6,NA,NA,NA
Tyus Edney,75.9,3.3,1.5,1.4,0.5,NA,NA,NA,NA
Bucky Bockhorn,74.8,3.1,1.5,1.3,1.1,0.5,0.3,0.1,NA
Yogi Ferrell,74.6,3,1.9,1.8,NA,NA,NA,NA,NA
Leon Wood,74.5,2.2,2,1.9,0.6,0.3,-0.2,NA,NA
