Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Chris Johnson,,1.4,1.1,0.8,0.2
Charles Davis,91.8,1.5,1,0.9,0.3
Steve Green,84.3,1.2,1.1,0.7,0.4
Darvin Ham,83.4,1.7,0.9,0.9,0.1
Tim Kempton,82.4,1.3,1.3,1,0.1
Fred Saunders,80.7,1.3,1.2,0.5,0.1
Yi Jianlian,80.6,1.3,0.7,0.7,0.4
Rafael Addison,80.2,1.5,1.5,0.9,0.4
Keith Lee,79.7,1.9,1.1,0.8,NA
Art Spector,79.4,1.4,1,0.6,-0.2
Chris Crawford,78.1,1.3,0.9,0.6,0.6
