Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jared Sullinger,,4.8,4,3.9,2.7,-0.1,NA,NA
Michael Brooks,88.6,4.9,4.7,4.5,2.4,0,0,NA
Randolph Mahaffey,87.5,5.7,4.7,3.7,2.6,NA,NA,NA
Chuck Gilmur,86.2,4.6,4.5,4.3,1.7,-0.1,NA,NA
Leo Barnhorst,84.7,4.7,4.6,3.6,1.3,NA,NA,NA
Willie Cauley-Stein,84.7,6.7,3.9,3.8,2.9,NA,NA,NA
Dave Meyers,83.7,5,3.9,2.4,2.2,NA,NA,NA
Keon Clark,83.4,5.3,4.7,4.2,3.7,0.2,0,NA
Bob Harris,82.9,5,4.3,3.4,1.9,1,NA,NA
Lionel Simmons,82.8,4.3,3.8,3.8,2.7,1.1,0.9,0.3
Larry Nance,82.2,5.8,4.9,3.5,2.2,NA,NA,NA
