Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Gerald Green,,6.1,2.1,1.9,1.9,1.7,1.6,1.3,1.2,0.6,0.5,0,-0.4,NA,NA
Frank Johnson,77.1,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,NA,NA,NA,NA
Brian Shaw,76.9,5.9,3.2,2.5,2.2,2.1,1.8,1.3,1.2,1.1,1,0.6,0.6,0.1,0
Eddie House,74.8,4.9,3.9,2.2,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4,NA,NA,NA
John Battle,72.4,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA,NA,NA,NA
Johnny Dawkins,72.2,6.4,4.3,3.6,2,1.7,1.1,1.1,1,0.6,NA,NA,NA,NA,NA
Aaron Brooks,69.8,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1,NA,NA,NA,NA
Danny Young,69.8,4.8,3,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,NA,NA,NA,NA
Anthony Morrow,69.7,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA,NA,NA
Keith Bogans,69.0,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0,NA,NA,NA
Dudley Bradley,68.6,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA,NA,NA
