Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,BOS,NBA,SG,32,3,374,6.4,13.3,0.478,0.6,1.9,0.3,5.8,11.4,0.508,2.8,3.6,0.784,1,3,3.9,1.7,1.3,0.4,2.1,3.9,16.1
2006-07,21,BOS,NBA,SF,81,26,1780,6.3,14.9,0.419,1.9,5.2,0.368,4.3,9.7,0.447,2.6,3.2,0.805,1.4,2.8,4.2,1.7,0.8,0.5,2.4,4,17
2007-08,22,TOT,NBA,SF,30,0,362,5.2,15,0.344,1.5,3.9,0.385,3.7,11.1,0.33,3.4,4.1,0.829,1.3,5.1,6.4,2.9,0.8,0.4,3.2,4.5,15.2
2007-08,22,MIN,NBA,SF,29,0,358,4.9,14.9,0.331,1.5,3.9,0.385,3.4,11,0.312,3.4,4.1,0.829,1.1,5.1,6.2,2.9,0.8,0.4,3.2,4.3,14.8
2007-08,22,HOU,NBA,SF,1,0,4,27,27,1,0,0,NA,27,27,1,0,0,NA,18,0,18,0,0,0,0,18,54
2008-09,23,DAL,NBA,SG,38,12,376,7.6,17.2,0.439,1.3,4.4,0.304,6.2,12.8,0.485,2.6,3.1,0.844,1.3,3.8,5.2,1.4,1,0.5,3.2,4.9,19.1
2011-12,26,NJN,NBA,SF,31,2,781,7.1,14.8,0.481,2,5.1,0.391,5.1,9.7,0.529,2.3,3,0.754,0.7,4.3,5,1.6,1.3,0.8,2.5,3.7,18.4
2012-13,27,IND,NBA,SF,60,7,1080,5.2,14.1,0.366,2,6.3,0.314,3.2,7.9,0.407,1.7,2.2,0.8,1,3.7,4.7,1.7,0.6,0.8,1.8,2.1,14
2013-14,28,PHO,NBA,SG,82,48,2330,6.9,15.5,0.445,3.2,7.9,0.4,3.8,7.7,0.492,3,3.6,0.848,0.7,3.5,4.2,1.9,1.1,0.6,2.2,3.4,20
2014-15,29,PHO,NBA,SG,74,4,1446,8.1,19.4,0.416,3.4,9.6,0.354,4.7,9.7,0.478,2.5,3,0.825,0.8,3.8,4.6,2.3,1,0.3,2.6,3.6,22
2015-16,30,MIA,NBA,SG,69,14,1557,5.3,13.6,0.392,1.9,6,0.323,3.4,7.6,0.446,1.7,2.1,0.783,0.6,3.2,3.8,1.3,0.9,0.4,1.1,2.8,14.2
2016-17,31,BOS,NBA,SF,47,0,538,6.4,15.5,0.409,2.6,7.4,0.351,3.7,8.1,0.463,2.2,2.7,0.805,1.1,4.6,5.6,2.2,0.6,0.5,1.7,3.2,17.5
2017-18,32,HOU,NBA,SG,41,2,929,6.5,16,0.407,4.3,11.5,0.369,2.2,4.5,0.504,2,2.3,0.85,0.6,4.6,5.2,1,0.9,0.6,1.2,3.4,19.3
2018-19,33,HOU,NBA,SG,73,0,1473,5.6,14.1,0.4,3.8,10.8,0.354,1.8,3.3,0.547,1.4,1.7,0.838,0.7,3.7,4.4,1,0.8,0.7,1.3,3.1,16.5
Career,NA,,NBA,,658,118,13026,6.4,15.3,0.417,2.7,7.4,0.361,3.7,8,0.469,2.3,2.8,0.818,0.9,3.7,4.5,1.6,0.9,0.5,2,3.4,17.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BOS,NBA,,160,29,2692,6.3,14.8,0.425,1.9,5.2,0.36,4.4,9.6,0.46,2.5,3.2,0.802,1.3,3.2,4.5,1.8,0.8,0.5,2.2,3.8,17
2 seasons,NA,PHO,NBA,,156,52,3776,7.4,17,0.433,3.3,8.6,0.38,4.1,8.5,0.486,2.8,3.3,0.84,0.8,3.6,4.4,2,1.1,0.5,2.4,3.5,20.8
3 seasons,NA,HOU,NBA,,115,2,2406,6,14.9,0.404,4,11.1,0.36,2,3.8,0.533,1.6,1.9,0.844,0.7,4,4.7,1,0.9,0.6,1.3,3.2,17.6
1 season,NA,MIA,NBA,,69,14,1557,5.3,13.6,0.392,1.9,6,0.323,3.4,7.6,0.446,1.7,2.1,0.783,0.6,3.2,3.8,1.3,0.9,0.4,1.1,2.8,14.2
1 season,NA,IND,NBA,,60,7,1080,5.2,14.1,0.366,2,6.3,0.314,3.2,7.9,0.407,1.7,2.2,0.8,1,3.7,4.7,1.7,0.6,0.8,1.8,2.1,14
1 season,NA,DAL,NBA,,38,12,376,7.6,17.2,0.439,1.3,4.4,0.304,6.2,12.8,0.485,2.6,3.1,0.844,1.3,3.8,5.2,1.4,1,0.5,3.2,4.9,19.1
1 season,NA,NJN,NBA,,31,2,781,7.1,14.8,0.481,2,5.1,0.391,5.1,9.7,0.529,2.3,3,0.754,0.7,4.3,5,1.6,1.3,0.8,2.5,3.7,18.4
1 season,NA,MIN,NBA,,29,0,358,4.9,14.9,0.331,1.5,3.9,0.385,3.4,11,0.312,3.4,4.1,0.829,1.1,5.1,6.2,2.9,0.8,0.4,3.2,4.3,14.8
