Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mitch Kupchak,,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0
Bruce Bowen,91.4,6.1,5.4,5.1,4.2,2.2,1.9,1.2,0,0
Curtis Perry,90.4,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA
Jay Vincent,86.1,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3
Desmond Mason,85.1,5.7,5.2,4.7,4.3,1.7,1.5,0.6,-0.2,-0.3
Khris Middleton,83.9,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA
Reggie Williams,83.1,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0,-1.1
Rod Higgins,82.7,5.9,5.7,5.3,5,3.8,3.7,2,1,0.1
Chuck Hayes,82.6,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6
Larry Siegfried,81.8,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1
Aaron Williams,81.4,5.2,5,4.8,3.7,1.7,1.1,1.1,-0.1,-0.1
