Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tristan Thompson,,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1
Bryon Russell,93.9,8.8,7.4,6.8,6,5.6,2.1,1.4,0.8
Hedo Türkoğlu,91.5,9,7.6,6.7,5.2,4.9,3.4,2.8,2.6
Bill Bridges,91.4,8.6,7.6,6.7,6.6,3.9,3.1,2.6,0.6
Udonis Haslem,90.6,9.2,7,6,5.7,5.1,4.8,2.5,0.9
Sidney Wicks,89.4,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5
Maurice Lucas,89.3,8.7,7.4,6.2,5.8,5.5,4.7,3.5,2.4
Charles Smith,88.8,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9
Kelly Tripucka,88.8,7.5,7.5,7.1,5.7,4.2,3.3,3.3,1.7
Lamar Odom,88.7,9.2,8.4,6.5,4.7,4.7,3.2,2.2,0.7
Cincinnatus Powell,88.7,8.1,7,6.8,6.4,5.4,4.3,3,0.1
