Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1961-62,23,STL,NBA,SF,3,NA,25,1.4,17.3,0.083,NA,NA,NA,1.4,17.3,0.083,1.4,2.9,0.5,NA,NA,8.6,1.4,NA,5.8,4.3
1962-63,24,LAL,NBA,SF,28,NA,289,3.4,10.2,0.329,NA,NA,NA,3.4,10.2,0.329,2.5,3.6,0.69,NA,NA,8.8,1.2,NA,5.7,9.2
1967-68,29,DNR,ABA,SF,1,NA,6,0,12,0,0,0,NA,0,12,0,12,12,1,NA,NA,6,0,6,0,12
Career,NA,,TOT,,32,NA,320,3.2,10.8,0.292,0,0,NA,3.2,10.8,0.292,2.6,3.7,0.697,NA,NA,8.8,1.2,6,5.6,8.9
,NA,,NBA,,31,NA,314,3.2,10.8,0.298,NA,NA,NA,3.2,10.8,0.298,2.4,3.6,0.677,NA,NA,8.8,1.3,NA,5.7,8.8
,NA,,ABA,,1,NA,6,0,12,0,0,0,NA,0,12,0,12,12,1,NA,NA,6,0,6,0,12
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,LAL,NBA,,28,NA,289,3.4,10.2,0.329,NA,NA,NA,3.4,10.2,0.329,2.5,3.6,0.69,NA,NA,8.8,1.2,NA,5.7,9.2
1 season,NA,STL,NBA,,3,NA,25,1.4,17.3,0.083,NA,NA,NA,1.4,17.3,0.083,1.4,2.9,0.5,NA,NA,8.6,1.4,NA,5.8,4.3
1 season,NA,DNR,ABA,,1,NA,6,0,12,0,0,0,NA,0,12,0,12,12,1,NA,NA,6,0,6,0,12
