,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1961-62,23,STL,NBA,,1,,,,,,1,2,,,,,,2,3
1962-63,24,LAL,NBA,,3,,,,,,5,,,,,,,,7
1967-68,29,DNR,ABA,,0,,0,,,,2,2,,,,,,,2
Career,,,TOT,,3,,,,,,5,,,,,,,,7
,,,NBA,,3,,,,,,5,,,,,,,,7
,,,ABA,,0,,0,,,,2,2,,,,,,,2
,,,,,,,,,,,,,,,,,,,
1 Season,,LAL,NBA,,3,,,,,,5,,,,,,,,7
1 Season,,STL,NBA,,1,,,,,,1,2,,,,,,2,3
1 Season,,DNR,ABA,,0,,0,,,,2,2,,,,,,,2
