Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1961-62,23,STL,NBA,SF,3,25,-6.4,0.116,NA,0.167,NA,NA,NA,NA,NA,NA,NA,-0.2,0,-0.2,-0.397
1962-63,24,LAL,NBA,SF,28,289,6.1,0.39,NA,0.354,NA,NA,NA,NA,NA,NA,NA,-0.3,0.3,0,-0.006
1967-68,29,DNR,ABA,SF,1,6,-0.9,0.347,0,1,NA,NA,7.8,0,25.8,24.9,NA,0,0,0,-0.09
Career,NA,,TOT,,32,320,5,0.357,0,0.344,NA,NA,7.8,0,25.8,24.9,NA,-0.6,0.3,-0.3,-0.038
,NA,,NBA,,31,314,5.1,0.358,NA,0.33,NA,NA,NA,NA,NA,NA,NA,-0.5,0.3,-0.2,-0.037
,NA,,ABA,,1,6,-0.9,0.347,0,1,NA,NA,7.8,0,25.8,24.9,NA,0,0,0,-0.09
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,LAL,NBA,,28,289,6.1,0.39,NA,0.354,NA,NA,NA,NA,NA,NA,NA,-0.3,0.3,0,-0.006
1 season,NA,STL,NBA,,3,25,-6.4,0.116,NA,0.167,NA,NA,NA,NA,NA,NA,NA,-0.2,0,-0.2,-0.397
1 season,NA,DNR,ABA,,1,6,-0.9,0.347,0,1,NA,NA,7.8,0,25.8,24.9,NA,0,0,0,-0.09
