Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,TOT,ABA,C,42,NA,8.4,1.4,3.5,0.4,0,0,0,1.4,3.4,0.403,0.4,0.5,1.1,0.478,1.1,1.9,3,0.3,0.5,1.3,3.3
1968-69,22,MNP,ABA,C,2,NA,5.5,0.5,1,0.5,0,0,NA,0.5,1,0.5,0.5,1,1.5,0.667,0,0.5,0.5,0,0,1.5,2
1968-69,22,HSM,ABA,C,40,NA,8.6,1.4,3.6,0.399,0,0,0,1.4,3.6,0.401,0.399,0.5,1.1,0.465,1.1,2,3.1,0.3,0.6,1.3,3.4
Career,NA,,ABA,,42,NA,8.4,1.4,3.5,0.4,0,0,0,1.4,3.4,0.403,0.4,0.5,1.1,0.478,1.1,1.9,3,0.3,0.5,1.3,3.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HSM,ABA,,40,NA,8.6,1.4,3.6,0.399,0,0,0,1.4,3.6,0.401,0.399,0.5,1.1,0.465,1.1,2,3.1,0.3,0.6,1.3,3.4
1 season,NA,MNP,ABA,,2,NA,5.5,0.5,1,0.5,0,0,NA,0.5,1,0.5,0.5,1,1.5,0.667,0,0.5,0.5,0,0,1.5,2
