,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1995-96,22,SAC,NBA,,8,17,3,8,8,17,6,9,5,5,8,14,4,1,7,6,20,22.6
1996-97,23,SAC,NBA,42:06,7,11,2,4,7,11,15,15,2,4,5,12,4,1,5,5,23,19.3
1997-98,24,BOS,NBA,29:11,5,12,2,3,5,11,6,7,3,3,5,10,5,1,5,5,17,16.1
2000-01,27,IND,NBA,29:39,5,10,1,2,5,9,7,8,1,4,4,7,3,0,3,3,16,11.6
Career,,,,42:06,8,17,3,8,8,17,15,15,5,5,8,14,5,1,7,6,23,22.6
2 Seasons,,SAC,NBA,42:06,8,17,3,8,8,17,15,15,5,5,8,14,4,1,7,6,23,22.6
1 Season,,BOS,NBA,29:11,5,12,2,3,5,11,6,7,3,3,5,10,5,1,5,5,17,16.1
1 Season,,IND,NBA,29:39,5,10,1,2,5,9,7,8,1,4,4,7,3,0,3,3,16,11.6
