Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tyus Edney,,3.3,1.5,1.4,0.5,NA,NA,NA,NA
Anthony Goldwire,84.8,3,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Quinton Ross,83.3,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA
Dan Dickau,81.2,3.5,1.5,0.4,0.4,0,0,NA,NA
Dennis Hopson,81.2,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA
Angelo Musi,80.4,3.5,1.3,1.1,NA,NA,NA,NA,NA
Jerian Grant,80.1,3.3,2.5,1.7,0.8,NA,NA,NA,NA
Shabazz Napier,79.9,3.2,2,0.6,0.5,0.1,NA,NA,NA
Mike Barr,79.3,2.7,1.7,1.4,0.7,0.4,NA,NA,NA
Tom Garrick,79.3,2.5,1.8,1.4,0.2,NA,NA,NA,NA
Yogi Ferrell,79.2,3,1.9,1.8,NA,NA,NA,NA,NA
