Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tyus Edney,,3.3,1.5,1.4,0.5
Quinton Ross,91.7,3.2,1.7,1.6,0.7
Alec Burks,89.2,3.2,1.7,1.5,1
Quincy Pondexter,86.9,3.2,1.7,0.9,0.4
Mickaël Piétrus,86.6,3.6,2.1,1.5,0.6
Langston Galloway,86.1,3.3,1.4,1.3,1.3
Eric Snow,85.8,3.8,1.9,1.3,0.5
Bucky Bockhorn,85.2,3.1,1.3,1.1,0.3
Jon Sundvold,85.1,3,1.5,1.2,0.2
Rick Adelman,84.9,3.4,2.2,1.6,0.7
Steve Kerr,84.2,3.2,2.4,1.3,0.4
