Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Goo Kennedy,,5.7,5,4.5,4,0.8,0.3
Desmond Mason,90.5,5.7,5.2,4.7,4.3,1.7,-0.2
Keon Clark,90.4,5.3,4.7,4.2,3.7,0.2,0
Kenny Carr,87.3,5.8,5.1,3.8,2.9,1.1,0
Tom Van Arsdale,87.2,5.5,5,4.8,3.1,1.4,1
Nenê Hilário,86.8,6.1,5.3,5,3.2,0.3,-0.1
Aaron Gordon,86.3,5.4,5.1,3.7,2.9,1,NA
Luke Jackson,85.9,5.1,4.8,4.2,3.6,1.7,0.8
Mike Bantom,85.6,5.9,5.2,4.8,4.5,2.7,0.5
Stephen Jackson,85.0,4.8,4.4,4.4,3.1,0.9,-0.1
Ben Poquette,84.9,5.4,5,4.9,3.4,2.5,0.6
