Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Goo Kennedy,,5.7,5,4.5,4,0.8,0.3,NA,NA,NA,NA,NA,NA
Keon Clark,90.4,5.3,4.7,4.2,3.7,0.2,0,NA,NA,NA,NA,NA,NA
Aaron Gordon,86.3,5.4,5.1,3.7,2.9,1,NA,NA,NA,NA,NA,NA,NA
Desmond Mason,84.5,5.7,5.2,4.7,4.3,1.7,1.5,0.6,0,-0.2,-0.3,NA,NA
Julius Keye,84.0,5.3,4.3,3.6,3.6,1.2,-0.2,NA,NA,NA,NA,NA,NA
Randolph Mahaffey,82.5,5.7,4.7,3.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA
Michael Brooks,80.8,4.9,4.7,4.5,2.4,0,0,NA,NA,NA,NA,NA,NA
Tracy Murray,80.7,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
Larry Nance,80.3,5.8,4.9,3.5,2.2,NA,NA,NA,NA,NA,NA,NA,NA
DeJuan Blair,80.1,4.8,4.6,4,3.4,2.2,0.1,-0.1,NA,NA,NA,NA,NA
Jack Kerris,79.6,5.9,5.7,4.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA
