,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,DLC,ABA,,4,,0,,,,2,2,,,,,,,,,10
1973-74,24,SAA,ABA,,4,,0,,,,3,4,,,,,,,,,11
1974-75,25,SSL,ABA,,4,,0,,,,4,5,,,,,,,,,8
1976-77,27,HOU,NBA,,3,3,,,,,2,2,,,3,0,,,,4,6
Career,,,TOT,,4,,,,,,4,5,,,,,,,,,11
,,,NBA,,3,3,,,,,2,2,,,3,0,,,,4,6
,,,ABA,,4,,0,,,,4,5,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,"DLC,SAA",ABA,,4,,0,,,,3,4,,,,,,,,,11
1 Season,,SSL,ABA,,4,,0,,,,4,5,,,,,,,,,8
1 Season,,HOU,NBA,,3,3,,,,,2,2,,,3,0,,,,4,6
