Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Dan Gadzuric,,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0,NA
Jerome Whitehead,88.5,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1
Rick Robey,84.7,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,NA,NA,NA
Zaid Abdul-Aziz,82.0,6.5,3.7,2,1.9,1.8,1,0.6,0.3,0.1,-0.3,NA
Jordan Hill,81.6,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0,NA,NA,NA
Dewayne Dedmon,81.0,5.2,4,3.7,2.4,1.7,0.6,NA,NA,NA,NA,NA
Kurt Nimphius,80.5,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA
Lee Davis,80.2,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA
Marc Jackson,78.3,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA,NA
Timofey Mozgov,77.9,5.7,4.5,3.7,1.1,1.1,0.7,0.6,0.4,NA,NA,NA
Chris Mihm,77.8,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA,NA
