Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Renaldo Balkman,,2.8,2.6,1.3,0.3,0.1,0
Tom Tolbert,93.2,2.7,2.5,1.3,0.1,0,0
Jared Jeffries,88.8,3.1,2.6,1.2,0.6,0.3,0.1
Tyrone Nesby,88.0,3.1,2.9,1.3,0.3,NA,NA
Bruce Seals,87.5,2.9,2.4,1.6,0.6,0.3,NA
Monty Williams,86.6,3.1,2.3,1.2,0.3,0,-0.1
Kenny Williams,85.6,2.7,2.4,1.6,0.7,NA,NA
Mark Strickland,85.4,2.8,2.2,1,0.6,0,0
Cal Christensen,83.9,3.2,2.9,1.7,0.4,0,NA
Shabazz Muhammad,83.9,2.7,2.7,2,0.7,0.3,NA
Joey Graham,79.5,3,2.2,1.3,1.1,0.3,0
